frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:tcp:sabp,34,21,31564,19970
eth:ethertype:ip:tcp:rtsp,117,57,111406,51658
eth:ethertype:ip:tcp:rtpproxy,8,4,7600,3800
eth:ethertype:ip:tcp:rtmpt,33,19,32302,18218
eth:ethertype:ip:tcp:rsync,52,24,44911,20774
eth:ethertype:ip:tcp:rsip,27,13,23153,10317
eth:ethertype:ip:tcp:rsh,34,15,27328,12214
eth:ethertype:ip:tcp:rpc,42,25,33593,18089
eth:ethertype:ip:tcp:rmi,56,26,45106,20438
eth:ethertype:ip:tcp:rlogin,43,25,39130,21742
eth:ethertype:ip:tcp:reload-framing,35,17,33170,16682
eth:ethertype:ip:tcp:r3,84,42,70596,36594
eth:ethertype:ip:tcp:ptpip,37,23,34814,21754
eth:ethertype:ip:tcp:pptp:data,49,27,42495,22435
eth:ethertype:ip:tcp:pop:imf,18,8,16240,7228
eth:ethertype:ip:tcp:pop,16,5,15464,5142
eth:ethertype:ip:tcp:pmproxy,42,23,38022,20984
eth:ethertype:ip:tcp:pgsql,2,0,312,0
eth:ethertype:ip:tcp:opsi,1,1,1078,1078
eth:ethertype:ip:tcp:openvpn,9,5,8586,4770
eth:ethertype:ip:tcp:openflow,1,0,1078,0
eth:ethertype:ip:tcp:omapi,43,27,35335,22907
eth:ethertype:ip:tcp:ntp,44,26,31637,18460
eth:ethertype:ip:tcp:nntp,40,19,34154,16776
eth:ethertype:ip:tcp:netsync,20,8,18396,7616
eth:ethertype:ip:tcp:ndps,61,31,58318,29698
eth:ethertype:ip:tcp:ncp,28,18,25096,16100
eth:ethertype:ip:tcp:nbss:smb,2089,459,312882,59026
eth:ethertype:ip:tcp:nbss,89,40,67759,28249
eth:ethertype:ip:tcp:nano,36,17,29906,14578
eth:ethertype:ip:tcp:mysql,9,3,8586,2862
eth:ethertype:ip:tcp:msnms,58,29,48114,24147
eth:ethertype:ip:tcp:msdp,46,28,40590,24066
eth:ethertype:ip:tcp:mqtt,18,6,16116,4948
eth:ethertype:ip:tcp:mptcp:data,2,1,1132,566
eth:ethertype:ip:tcp:mptcp,128227,64349,10903274,5471958
eth:ethertype:ip:tcp:mikey,44,22,36666,16642
eth:ethertype:ip:tcp:mih,27,13,24818,13006
eth:ethertype:ip:tcp:memcache,40,22,33609,17820
eth:ethertype:ip:tcp:megaco:data,28,13,25576,11966
eth:ethertype:ip:tcp:megaco,13,5,12402,4770
eth:ethertype:ip:tcp:lpd:data,17,10,15848,9796
